branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,asynchronous,1000,32,34.8685,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1684
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,asynchronous,1000,32,35.0647,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1633
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,asynchronous,1000,32,35.1756,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1524
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,asynchronous,1000,32,35.3784,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1745
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,asynchronous,1000,32,35.2817,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1693
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,4,multiset,4,,asynchronous,1000,32,33.3197,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1615
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,4,multiset,4,,asynchronous,1000,32,32.9093,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1686
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,4,multiset,4,,asynchronous,1000,32,33.0187,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1512
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,4,multiset,4,,asynchronous,1000,32,32.9463,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1626
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,4,multiset,4,,asynchronous,1000,32,32.9579,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1568
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,asynchronous,1000,32,31.3305,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,2,0,1365
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,asynchronous,1000,32,31.4458,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,2,0,1304
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,asynchronous,1000,32,31.1818,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1425
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,asynchronous,1000,32,31.2422,16384,2529140,55,1,0,1,0,9,1,2529195,2529194,16384,3,0,1424
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,asynchronous,1000,32,31.6457,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1439
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,synchronous,1000,32,35.1617,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1798
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,synchronous,1000,32,35.7744,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1643
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,synchronous,1000,32,35.4287,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1689
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,synchronous,1000,32,35.3125,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1630
