branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,3,multiset,3,,asynchronous,1000,32,133.001,10000,62216221,252401,1138243,44611,113635,28952,2573517,1182854,62475263,61285760,10569,970140,857,160
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,3,multiset,3,,asynchronous,1000,32,130.967,10000,61971425,247832,893446,40042,99716,22096,2183311,933488,62226806,61285769,10599,944207,976,160
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,3,multiset,3,,asynchronous,1000,32,135.31,10000,62447366,260422,1369387,52632,126730,36005,2970153,1422019,62724964,61285769,11120,994640,1139,168
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,3,multiset,3,,asynchronous,1000,32,131.125,10000,61916633,241669,838654,33879,97946,20553,2106720,872533,62167785,61285765,10759,939675,1033,163
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,3,multiset,3,,asynchronous,1000,32,135.364,10000,62458156,268648,1380177,60858,124922,35984,2948422,1441035,62731835,61285769,10387,994208,1167,153
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,4,multiset,4,,asynchronous,1000,32,119.024,10000,62369399,245290,1291420,37500,140616,32139,3086869,1328920,62621108,61285769,10572,1002531,1279,174
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,4,multiset,4,,asynchronous,1000,32,125.179,10000,62899591,251968,1821613,44178,167129,47167,3918458,1865791,63166117,61285762,11030,1055319,1664,173
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,4,multiset,4,,asynchronous,1000,32,120.802,10000,62415921,241303,1337942,33513,144835,33310,3187755,1371455,62668518,61285767,10755,1008415,1454,175
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,4,multiset,4,,asynchronous,1000,32,122.26,10000,62401344,238914,1323365,31124,142184,32970,3115794,1354489,62652725,61285768,11019,1004974,1350,177
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,4,multiset,4,,asynchronous,1000,32,119.315,10000,62459206,242337,1381227,34547,141148,34410,3175232,1415774,62709332,61285767,10534,1008766,1298,177
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,6,multiset,6,,asynchronous,1000,32,103.372,10000,62249332,228008,1171353,20218,151855,27644,3093903,1191571,62489355,61285769,11044,1006456,2088,178
