branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,asynchronous,1000,32,92.8915,16384,6380454,172,1,0,1,0,14,1,6380626,6380625,16384,1,0,1823
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,asynchronous,1000,32,93.0892,16384,6380455,172,2,0,2,0,28,2,6380627,6380625,16384,4,0,1842
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,asynchronous,1000,32,92.6769,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,1,0,1838
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,asynchronous,1000,32,92.8715,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,0,0,1818
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,asynchronous,1000,32,92.8544,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,1,0,1797
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,asynchronous,1000,32,86.6068,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,2,0,1747
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,asynchronous,1000,32,86.8313,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,1,0,1802
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,asynchronous,1000,32,86.7787,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,1,0,1781
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,asynchronous,1000,32,86.6377,16384,6380455,172,2,0,2,0,15,2,6380627,6380625,16384,4,0,1826
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,asynchronous,1000,32,86.1309,16384,6380456,172,3,0,3,0,14,3,6380628,6380625,16384,5,0,1817
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,asynchronous,1000,32,80.7534,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,1,0,1699
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,asynchronous,1000,32,80.5304,16384,6380455,172,2,0,2,0,23,2,6380627,6380625,16384,10,0,1786
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,asynchronous,1000,32,80.0575,16384,6380456,172,3,0,3,0,58,3,6380628,6380625,16384,8,0,1756
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,asynchronous,1000,32,80.4124,16384,6380465,172,12,0,7,0,119,12,6380636,6380625,16384,13,0,1826
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,asynchronous,1000,32,80.387,16384,6380455,172,2,0,2,0,26,2,6380627,6380625,16384,14,0,1754
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,synchronous,1000,32,93.2159,16384,6380454,172,1,0,1,0,14,1,6380626,6380625,16384,1,0,1857
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,synchronous,1000,32,93.9476,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,1,0,1898
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,synchronous,1000,32,94.2179,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,0,0,1878
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,synchronous,1000,32,93.9718,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,1,0,1791
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,synchronous,1000,32,93.8508,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,1,0,1883
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,synchronous,1000,32,87.2566,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,1,0,1820
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,synchronous,1000,32,87.4816,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,1,0,1870
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,synchronous,1000,32,87.8332,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,1,0,1814
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,synchronous,1000,32,87.6644,16384,6380455,172,2,0,3,0,33,2,6380628,6380625,16384,2,2,1881
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,synchronous,1000,32,87.8236,16384,6380454,172,1,0,1,0,16,1,6380627,6380625,16384,4,0,1890
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,synchronous,1000,32,81.1248,16384,6380455,172,2,0,2,0,39,2,6380627,6380625,16384,5,0,1664
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,synchronous,1000,32,81.5696,16384,6380481,172,28,0,16,0,272,28,6380652,6380625,16385,35,0,1744
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,synchronous,1000,32,80.9315,16384,6380455,172,2,0,2,0,28,2,6380627,6380625,16384,4,0,1672
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,synchronous,1000,32,81.1108,16384,6380457,172,4,0,3,0,58,4,6380629,6380625,16384,6,0,1821
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,synchronous,1000,32,81.3136,16384,6380459,172,6,0,5,0,83,6,6380631,6380625,16384,17,0,1830
