branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,asynchronous,1000,32,12.6161,10000,5871790,34819,57554,3208,20094,5663,455911,60761,5921962,5845845,11223,261881,83,141
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,asynchronous,1000,32,12.7062,10000,5890522,35281,76286,3670,24646,6326,554088,79956,5938918,5845841,11213,267471,96,138
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,asynchronous,1000,32,13.0696,10000,5914908,36177,100672,4566,29920,8716,700872,105238,5970166,5845847,11149,277173,114,137
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,asynchronous,1000,32,12.5349,10000,5876818,33494,62582,1883,21375,5986,477579,64464,5927706,5845842,11230,263508,83,141
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,asynchronous,1000,32,12.7691,10000,5887356,35414,73120,3803,23338,6340,520754,76923,5936073,5845847,11158,266518,85,137
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,4,multiset,4,,asynchronous,1000,32,11.7484,10000,5909827,33792,95591,2181,28068,7501,622448,97772,5955530,5845847,11123,276735,116,145
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,4,multiset,4,,asynchronous,1000,32,11.7385,10000,5930184,33496,115948,1885,33100,9856,755105,117833,5983017,5845845,11718,283962,117,148
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,4,multiset,4,,asynchronous,1000,32,11.3849,10000,5899939,34961,85703,3350,26213,8149,591910,89043,5952854,5845818,11515,274327,93,139
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,4,multiset,4,,asynchronous,1000,32,12.1749,10000,5959871,35292,145635,3681,38642,12703,917277,149316,6021508,5845847,11808,293206,122,138
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,4,multiset,4,,asynchronous,1000,32,11.6807,10000,5925646,34274,111410,2663,31770,9254,719701,114073,5972417,5845843,11604,282717,98,146
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,asynchronous,1000,32,10.9357,10000,5966808,35202,152571,3591,43201,11427,940530,156156,6017613,5845850,11950,303113,210,149
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,asynchronous,1000,32,11.0117,10000,5974327,35097,160091,3486,42619,13312,961356,163577,6029422,5845847,11281,306725,251,149
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,asynchronous,1000,32,10.8837,10000,5970158,35564,155922,3953,42207,13408,956778,159875,6026476,5845847,11160,306347,206,140
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,asynchronous,1000,32,10.9184,10000,5989116,35057,174880,3446,46186,13323,1034923,178326,6038636,5845844,11405,311832,217,147
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,asynchronous,1000,32,11.0255,10000,6021615,35770,207379,4159,47605,16800,1139455,211538,6081781,5845847,11645,316458,232,150
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,synchronous,1000,32,12.7656,10000,5885748,35208,71512,3597,21439,6307,489369,75109,5934007,5845843,11227,264242,98,135
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,synchronous,1000,32,12.7585,10000,5873486,33910,59250,2299,20911,5120,456272,61549,5918455,5845847,11164,262068,77,136
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,synchronous,1000,32,13.3012,10000,5928949,36710,114713,5099,30449,10795,761662,119812,5985917,5845847,11188,279868,107,135
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,synchronous,1000,32,13.1013,10000,5872032,34256,57796,2645,19362,6282,451380,60441,5924175,5845847,11430,262796,84,135
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,synchronous,1000,32,12.5097,10000,5869692,33648,55456,2037,19762,4325,413964,57493,5913329,5845844,10973,258845,71,137
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,4,multiset,4,,synchronous,1000,32,11.7655,10000,5902931,34579,88695,2968,26724,7724,594535,91663,5953855,5845844,11542,273375,114,140
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,4,multiset,4,,synchronous,1000,32,11.9784,10000,5906424,34578,92188,2967,27670,7330,606659,95155,5953027,5845847,11012,274900,111,139
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,4,multiset,4,,synchronous,1000,32,11.8817,10000,5934594,34864,120358,3253,32930,9933,761578,123611,5981955,5845847,11199,285334,128,140
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,4,multiset,4,,synchronous,1000,32,11.9787,10000,5907531,34944,93295,3333,26700,7984,601766,96628,5951504,5845847,11123,275272,130,140
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,4,multiset,4,,synchronous,1000,32,12.2957,10000,5907247,35463,93011,3852,28547,7813,626277,96863,5953969,5845843,11067,276494,115,142
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,synchronous,1000,32,11.2744,10000,6044109,35610,229873,3999,53182,17767,1232691,233872,6103863,5845847,11457,324374,232,136
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,synchronous,1000,32,11.3059,10000,6056053,37149,241817,5538,55334,18777,1303039,247353,6110128,5845847,11474,328403,223,140
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,synchronous,1000,32,11.1335,10000,5982176,35488,167940,3877,44480,12367,987906,171817,6033873,5845847,11449,306994,189,133
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,synchronous,1000,32,10.9345,10000,5981141,35131,166905,3520,47343,12231,1030704,170425,6033094,5845843,11634,310419,201,135
SynGVT,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,synchronous,1000,32,10.7601,10000,5928463,34735,114226,3125,35434,10177,770619,117350,5983641,5845848,11994,293386,203,130
