branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,3,multiset,3,,asynchronous,1000,32,130.784,10000,61932843,248208,854864,40418,93160,21559,2035846,895282,62192613,61285769,10826,937609,961,163
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,3,multiset,3,,asynchronous,1000,32,137.561,10000,62633223,278000,1555247,70210,140745,41350,3327440,1625451,62931725,61285756,11225,1017727,1046,159
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,3,multiset,3,,asynchronous,1000,32,135.241,10000,62462091,261199,1384112,53409,127415,36218,3012363,1437521,62733890,61285769,10800,995973,1167,165
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,3,multiset,3,,asynchronous,1000,32,133.675,10000,62177380,257598,1099401,49808,113823,28060,2573187,1149208,62447619,61285769,10796,968109,1107,163
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,3,multiset,3,,asynchronous,1000,32,131.245,10000,61977301,243148,899322,35358,102161,22475,2218423,934680,62234010,61285769,10886,947189,943,162
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,4,multiset,4,,asynchronous,1000,32,120.535,10000,62104178,233840,1026199,26050,121855,24630,2585728,1052249,62345676,61285768,10727,970600,1211,180
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,4,multiset,4,,asynchronous,1000,32,125.243,10000,63320127,256096,2242148,48306,190012,58843,4635826,2290454,63603949,61285769,11851,1098144,1579,177
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,4,multiset,4,,asynchronous,1000,32,118.392,10000,62379005,249120,1301026,41330,139509,32478,3073822,1342354,62641878,61285771,11016,1001834,1264,196
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,4,multiset,4,,asynchronous,1000,32,119.169,10000,62084263,234606,1006284,26816,119419,24724,2542516,1033100,62336088,61285769,11224,968559,1225,179
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,4,multiset,4,,asynchronous,1000,32,121.225,10000,62413055,237497,1335076,29707,143188,33135,3152404,1364782,62660054,61285765,10827,1007080,1400,177
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,6,multiset,6,,asynchronous,1000,32,106.006,10000,62372348,232947,1294369,25157,158552,31008,3294388,1319526,62621196,61285769,11091,1019099,2236,174
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,6,multiset,6,,asynchronous,1000,32,106.497,10000,62580116,232830,1502137,25040,175804,36184,3702637,1527177,62822656,61285769,10777,1045522,2360,185
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,6,multiset,6,,asynchronous,1000,32,106.77,10000,62618451,232776,1540473,24986,181109,37244,3819571,1565459,62857200,61285764,10468,1052041,2278,184
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,6,multiset,6,,asynchronous,1000,32,107.536,10000,62694098,235494,1616119,27704,186593,39142,3956802,1643823,62946035,61285769,11212,1059893,2240,187
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,6,multiset,6,,asynchronous,1000,32,108.649,10000,62703169,236911,1625190,29121,187135,39569,3969203,1654310,62950426,61285769,10809,1061595,2362,185
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,3,multiset,3,,synchronous,1000,32,131.721,10000,61805426,245265,727447,37475,85632,18156,1847285,764922,62061975,61285760,10695,923858,918,152
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,3,multiset,3,,synchronous,1000,32,135.296,10000,61910895,241872,832916,34082,96508,20681,2074522,866998,62163045,61285769,10784,938037,937,157
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,3,multiset,3,,synchronous,1000,32,129.494,10000,61850611,237345,772632,29555,92347,19065,1972979,802187,62092951,61285769,10525,931997,957,174
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,3,multiset,3,,synchronous,1000,32,134.055,10000,62248251,261903,1170272,54113,114012,30221,2617618,1224384,62537396,61285765,11516,972414,1101,150
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,3,multiset,3,,synchronous,1000,32,135.904,10000,62058742,249983,980763,42193,107959,24752,2381315,1022956,62323227,61285769,10859,956850,978,150
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,4,multiset,4,,synchronous,1000,32,123.131,10000,62854505,256131,1776526,48341,159765,45986,3757801,1824867,63124301,61285769,10993,1046809,1372,157
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,4,multiset,4,,synchronous,1000,32,123.267,10000,62871555,250425,1793576,42635,166283,46477,3854037,1836211,63138958,61285769,10968,1053787,1435,157
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,4,multiset,4,,synchronous,1000,32,124.363,10000,62709689,242504,1631710,34714,157730,41541,3603173,1666424,62966473,61285767,10867,1036211,1325,163
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,4,multiset,4,,synchronous,1000,32,122.129,10000,62484440,242316,1406461,34526,142284,35287,3205406,1440987,62738142,61285769,10774,1010579,1294,157
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,4,multiset,4,,synchronous,1000,32,120.586,10000,62389243,243537,1311264,35747,137629,33074,3051086,1347010,62653049,61285756,11200,1001581,1296,159
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,6,multiset,6,,synchronous,1000,32,109.29,10000,62872525,239589,1794546,31799,194704,43869,4205162,1826345,63131986,61285769,11210,1077718,2413,160
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,6,multiset,6,,synchronous,1000,32,109.111,10000,63250814,245850,2172835,38060,218893,54492,4873481,2210895,63511028,61285769,10911,1120262,2492,164
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,6,multiset,6,,synchronous,1000,32,107.475,10000,62543722,237014,1465743,29224,173228,35892,3649412,1494967,62791863,61285769,10875,1042591,2200,151
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,6,multiset,6,,synchronous,1000,32,109.374,10000,63034781,245198,1956802,37408,201070,49013,4413720,1994210,63299705,61285769,11311,1094298,2382,144
SynGVT,traffic,mpirun-np2-hostolaf,honi./traffic_sim,100000,6,multiset,6,,synchronous,1000,32,109.424,10000,63105774,247890,2027795,40100,210015,50874,4637412,2067895,63370454,61285769,11144,1104284,2332,155
