branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,171.923,16384,8520216,249,43,3,15,2,56,46,8520464,8520419,16384,26,0,279
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,170.726,16384,8520195,246,22,0,12,0,44,22,8520442,8520419,16384,21,0,215
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,170.515,16384,8520176,246,3,0,3,0,13,3,8520422,8520419,16384,4,0,227
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,171.712,16384,8520222,246,49,0,23,0,80,49,8520469,8520419,16384,32,0,261
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,172.568,16384,8520180,246,7,0,4,0,14,7,8520427,8520419,16384,8,0,910
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,146.123,16384,8520186,246,13,0,12,0,53,13,8520431,8520419,16384,36,0,263
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,146.166,16384,8520180,246,7,0,4,0,14,7,8520425,8520419,16384,18,0,182
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,146.186,16384,8520184,246,11,0,5,0,24,11,8520428,8520419,16384,10,0,204
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,146.898,16384,8520191,246,18,0,14,0,68,18,8520436,8520419,16384,35,0,191
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,146.14,16384,8520189,246,16,0,9,0,23,16,8520433,8520419,16384,22,0,171
