branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,13.0268,10000,5919211,36474,104975,4863,30481,8855,715259,109838,5975216,5845847,11273,277331,109,137
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.8439,10000,5897762,35856,83526,4245,24035,7437,556480,87771,5944594,5845847,11010,269014,80,147
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.4341,10000,5872954,34684,58718,3073,19616,5151,430560,61791,5914037,5845845,11043,261213,74,139
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.5341,10000,5852523,33289,38287,1678,16567,3263,342895,39965,5896001,5845844,11046,255605,73,139
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.656,10000,5877066,34161,62830,2550,20866,6694,486547,65380,5932516,5845844,11700,264026,66,140
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.5637,10000,5867052,32753,52816,1142,20154,4461,432233,53958,5910825,5845847,11027,261072,71,139
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.7096,10000,5872228,34280,57992,2669,20294,4918,440741,60661,5918762,5845845,11164,261402,73,138
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,13.0906,10000,5907317,36112,93081,4501,27119,8869,659741,97582,5961372,5845845,11332,272975,77,136
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.5868,10000,5891409,35062,77173,3451,23674,6557,541313,80624,5941341,5845843,11225,267962,91,140
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.7537,10000,5895604,35930,81367,4319,25035,7259,585841,85685,5948077,5845845,11196,270075,80,141
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.3604,10000,6043349,35698,229113,4087,52013,18824,1264427,233200,6098722,5845847,11746,325240,225,151
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.8927,10000,5969386,35833,155150,4222,44338,12049,970894,159356,6023887,5845835,11590,306356,188,144
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.8356,10000,5997082,35795,182846,4184,46870,15248,1065048,187029,6059630,5845828,11551,314099,215,146
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.9072,10000,6012202,35039,197966,3428,46799,14992,1070352,201394,6067750,5845847,11432,312632,208,156
