branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.3096,10000,6233207,20559,21677,963,4584,524,85431,22640,6256303,6231119,10310,108058,65,150
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.339,10000,6229729,20176,18198,580,4652,328,81295,18778,6251655,6231127,10277,107814,49,146
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.3224,10000,6230769,20393,19238,797,4789,375,85977,20035,6252919,6231127,10281,108099,56,147
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.6783,10000,6246998,21073,35467,1477,6807,898,131611,36943,6271796,6231124,10352,110842,56,149
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.2838,10000,6222221,19969,10691,373,3192,219,56192,11064,6243194,6231120,10244,106335,55,146
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0791,10000,6273197,21243,61666,1647,11605,1468,219226,63313,6298728,6231127,10455,116423,155,154
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.4235,10000,6283238,20900,71707,1304,13165,1694,253085,73011,6309133,6231123,10469,118328,152,180
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.8522,10000,6309760,21240,98229,1644,15631,2589,311706,99873,6340308,6231127,10802,122252,146,155
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0326,10000,6282362,21004,70831,1408,12923,1775,248990,72239,6309092,6231127,10536,118307,165,150
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.2932,10000,6291865,20647,80334,1051,13719,2052,264095,81385,6317982,6231127,10612,119533,177,160
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.4892,10000,6255629,20992,44098,1396,7799,1150,150877,45494,6280630,6231126,10414,112030,80,150
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.3233,10000,6235157,21087,23627,1491,4927,559,89616,25118,6258478,6231114,10306,108410,38,142
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.3741,10000,6233040,20298,21509,702,4770,515,87024,22211,6256185,6231124,10333,108291,71,148
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.0202,10000,6231447,20125,19916,529,4673,404,84588,20443,6252777,6231117,10235,108075,73,153
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.3817,10000,6235685,20221,24154,625,5476,557,101025,24779,6259276,6231124,10377,108918,74,149
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.2386,10000,6286094,21056,74563,1460,13009,1847,248592,76023,6311399,6231127,10449,118653,172,150
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0511,10000,6266074,20870,54543,1274,11005,1351,205514,55817,6291544,6231127,10447,115776,132,163
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.2372,10000,6296996,21325,85465,1729,14021,2282,275764,87194,6326689,6231127,10596,120403,169,161
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.5337,10000,6297102,21292,85571,1696,14042,2066,273381,87267,6321767,6231127,10327,120162,169,169
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,10.9364,10000,6267572,21035,56041,1439,11323,1322,214309,57480,6293737,6231124,10569,115833,159,158
