branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,127.77,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,0,0,1868
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.152,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,0,0,1909
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,127.703,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,3,0,1844
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.608,16384,8520174,246,1,0,1,0,14,1,8520420,8520419,16384,1,0,1873
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.006,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,0,0,1877
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,111.041,16384,8520207,248,34,2,14,0,250,36,8520452,8520419,16384,30,0,1783
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.503,16384,8520202,246,29,0,18,0,351,29,8520446,8520419,16384,33,0,1771
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,111.077,16384,8520178,246,5,0,4,0,65,5,8520424,8520419,16384,11,0,1871
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.576,16384,8520185,246,12,0,6,0,161,12,8520432,8520419,16384,10,0,1798
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,111.614,16384,8520227,247,54,1,27,0,415,55,8520471,8520419,16384,37,0,1786
,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,134.406,16384,8520176,246,3,0,2,0,44,3,8520422,8520419,16384,0,0,309
,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,134.023,16384,8520174,246,1,0,1,0,14,1,8520420,8520419,16384,0,0,312
,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,134.349,16384,8520176,246,3,0,3,0,96,3,8520422,8520419,16384,0,0,298
,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,134.333,16384,8520178,246,5,0,4,0,61,5,8520425,8520419,16384,0,0,305
,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,134.332,16384,8520174,246,1,0,1,0,14,1,8520420,8520419,16384,0,0,315
,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,115.784,16384,8520193,246,20,0,13,0,171,20,8520439,8520419,16384,0,0,350
,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,116.179,16384,8520186,246,13,0,7,0,109,13,8520432,8520419,16384,0,0,360
,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,115.464,16384,8520235,247,62,1,30,0,402,63,8520475,8520419,16384,0,0,350
,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,115.401,16384,8520190,246,17,0,11,0,137,17,8520436,8520419,16384,0,0,326
,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,115.783,16384,8520201,246,28,0,16,0,219,28,8520445,8520419,16384,0,0,329
