branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.5098,10000,6234030,19953,22500,357,4535,518,84336,22857,6255052,6231114,10255,108098,50,151
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.4009,10000,6237721,20142,26190,546,5338,574,99961,26736,6259170,6231127,10257,108896,62,149
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.2758,10000,6231524,19994,19993,398,4932,406,88555,20391,6253630,6231126,10313,108238,61,148
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.2384,10000,6226492,20320,14961,724,4031,321,71830,15685,6248394,6231127,10264,107320,47,149
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.2574,10000,6227545,20226,16014,630,4371,295,75602,16644,6249400,6231122,10254,107511,70,149
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.4046,10000,6281098,20529,69567,933,12821,1578,243155,70500,6304587,6231127,10400,117970,140,159
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,10.9147,10000,6274121,20724,62591,1128,11028,1489,210706,63718,6298349,6231121,10355,116235,135,163
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.2506,10000,6302652,20975,91121,1379,14286,2195,277312,92500,6327516,6231127,10389,120550,146,161
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.133,10000,6290261,21006,78730,1411,13225,1893,255299,80140,6314032,6231117,10325,119025,162,173
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.2726,10000,6302233,21331,90702,1735,14290,2313,283239,92436,6327388,6231126,10469,120503,160,176
,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,33.4144,10000,9245332,41576,3033801,21980,138535,375894,9099074,3055781,9298437,6231127,10661,0,0,502
,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,33.9579,10000,9284489,41688,3072959,22092,140316,379536,9212124,3095050,9347306,6231127,11181,0,0,509
,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,34.0285,10000,9384748,44441,3173217,24845,141833,392138,9486210,3198062,9452526,6231127,11403,0,0,510
,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,33.9228,10000,9323017,43160,3111486,23564,141865,383554,9368629,3135049,9385302,6231128,11236,0,0,507
,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,33.9202,10000,9266886,42906,3055355,23310,139506,379839,9201214,3078664,9329173,6231128,10970,0,0,505
,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,33.1334,10000,9798601,40606,3587070,21010,165179,440008,10938612,3608080,10039110,6231127,17901,0,0,519
,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,36.048,10000,10286731,42586,4075200,22990,175882,499558,12257303,4098187,10560314,6231130,19295,0,0,536
,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,30.5803,10000,9787058,39948,3575527,20352,164407,421661,10608178,3595879,9893607,6231127,12729,0,0,512
,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,34.1927,10000,10109729,42713,3898202,23117,171155,469020,11599790,3921309,10292284,6231131,14190,0,0,515
,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,36.0386,10000,10619266,45396,4407735,25800,185369,540025,13292859,4433535,10959633,6231127,19819,0,0,522
