branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,127.875,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,0,0,1856
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.228,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,0,0,1869
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,129.064,16384,8520207,247,34,1,13,0,286,35,8520455,8520419,16384,21,0,1859
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.155,16384,8520176,247,3,1,1,0,29,4,8520422,8520419,16384,6,0,1857
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.605,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,2,0,1831
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,111.554,16384,8520193,246,20,0,12,0,176,20,8520438,8520419,16385,22,0,970
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.608,16384,8520275,248,102,2,34,0,796,104,8520514,8520419,16386,45,0,1800
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.141,16384,8520174,246,1,0,1,0,9,1,8520420,8520419,16384,2,0,1791
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,111.527,16384,8520351,247,178,1,65,0,974,179,8520588,8520419,16385,87,4,1777
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.66,16384,8520179,246,6,0,4,0,63,6,8520424,8520419,16384,8,0,1846
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,133.288,16384,8520187,246,14,0,21,0,358,14,8520440,8520419,16384,0,17,1872
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,133.354,16384,8520187,246,14,0,21,0,358,14,8520440,8520419,16384,0,17,1872
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,133.102,16384,8520187,246,14,0,21,0,358,14,8520440,8520419,16384,1,17,1885
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,132.832,16384,8520193,247,20,1,24,0,479,21,8520447,8520419,16384,5,17,1876
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,133.799,16384,8520187,246,14,0,21,0,358,14,8520440,8520419,16384,2,17,1884
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,114.546,16384,8520213,247,40,1,31,0,664,41,8520469,8520419,16384,14,17,1820
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,114.72,16384,8520194,246,21,0,27,0,463,21,8520447,8520419,16384,19,17,1833
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,114.354,16384,8520290,247,117,1,49,0,820,118,8520537,8520419,16384,39,19,1847
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,114.643,16384,8520193,246,20,0,26,0,439,20,8520446,8520419,16384,14,17,1838
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,114.635,16384,8520198,246,25,0,29,0,510,25,8520451,8520419,16384,12,17,1816
