branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.7129,10000,5884289,34844,70053,3233,22782,6157,519134,73286,5936039,5845847,11240,264778,94,139
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.6331,10000,5863453,33583,49217,1972,17414,3987,371956,51189,5904913,5845847,11017,257397,72,138
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.6948,10000,5888029,34738,73793,3127,24467,6122,553072,76920,5933350,5845844,11000,267945,94,140
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.6324,10000,5872301,33157,58065,1546,21319,4659,453580,59611,5918071,5845847,10991,262626,71,142
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.469,10000,5874882,33053,60646,1442,21245,5127,462660,62088,5924653,5845843,10965,263707,99,140
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.9456,10000,5986265,35293,172029,3682,46861,13745,1043492,175703,6042810,5845847,11834,312244,241,149
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.289,10000,6035489,35795,221253,4184,52066,16704,1206718,225434,6086667,5845845,11223,321969,234,143
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.211,10000,6017765,35358,203529,3747,48526,15829,1141457,207276,6069643,5845847,11309,317098,199,145
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.9812,10000,5981335,35543,167099,3932,47603,13714,1067993,171031,6039886,5845833,12360,311601,196,143
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.9617,10000,5952317,34478,138081,2867,39424,10925,856505,140948,6004027,5845847,11196,299669,208,150
