branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.1681,10000,6223937,20137,12406,541,3714,229,63545,12947,6244835,6231127,10212,106796,57,147
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.0052,10000,6223423,20009,11892,413,3524,214,62213,12305,6244788,6231123,10292,106551,56,147
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.6531,10000,6237586,21352,26055,1756,5320,638,101837,27811,6261534,6231122,10361,108912,41,158
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.5197,10000,6236616,20290,25085,694,5374,608,101962,25779,6260193,6231121,10371,108914,58,151
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.3078,10000,6229489,20313,17958,717,4471,422,81572,18675,6251863,6231122,10286,107754,73,147
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.3679,10000,6310072,21944,98541,2348,14417,2575,294365,100889,6336324,6231127,10404,121192,148,165
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.3935,10000,6267506,20719,55975,1123,10907,1352,203161,57098,6291446,6231127,10392,115769,114,159
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0268,10000,6291459,21141,79928,1545,13470,2026,264553,81473,6316352,6231126,10432,119365,128,153
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.5083,10000,6288612,21035,77081,1439,13995,1956,268849,78520,6316706,6231127,10601,119461,147,155
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,10.7922,10000,6261941,20540,50411,944,9994,1106,181831,51355,6284639,6231122,10287,114477,134,152
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.5722,10000,6255469,21400,43938,1804,7403,1265,151838,45742,6282503,6231126,10475,111806,138,153
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.2985,10000,6226435,20502,14904,906,4241,313,74361,15809,6248912,6231127,10311,107313,130,146
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.2553,10000,6227136,20401,15605,805,4460,296,78349,16410,6248875,6231125,10272,107533,118,150
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.4853,10000,6228088,20626,16557,1030,4227,356,74835,17587,6250450,6231121,10257,107406,125,144
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.2994,10000,6238741,21641,27211,2045,5174,716,98395,29256,6262365,6231120,10307,108840,145,148
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0012,10000,6264677,20518,53146,922,10587,1277,197255,54068,6289310,6231122,10522,115166,228,152
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.3657,10000,6314791,21043,103260,1447,15771,2611,321269,104707,6340217,6231127,10459,122513,227,161
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,10.9265,10000,6289424,21353,77893,1757,13426,2042,258081,79650,6317123,6231126,10402,119567,247,149
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0489,10000,6284440,20474,72910,878,12430,1800,242086,73788,6308015,6231122,10311,118257,221,154
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.4064,10000,6303246,20983,91715,1387,14790,2399,294132,93102,6331582,6231127,10603,121267,208,158
