branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,asynchronous,1000,10,123.191,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,4,0,265
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,asynchronous,1000,10,124.944,16384,6380497,172,44,0,15,0,57,44,6380669,6380625,16386,19,0,301
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,asynchronous,1000,10,123.554,16384,6380458,172,5,0,2,0,4,5,6380631,6380625,16384,7,0,243
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,asynchronous,1000,10,124.289,16384,6380454,172,1,0,1,0,8,1,6380626,6380625,16384,6,0,447
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,asynchronous,1000,10,123.799,16384,6380475,172,22,0,10,0,45,22,6380648,6380625,16385,15,0,230
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,asynchronous,1000,10,106.013,16384,6380476,172,23,0,15,0,77,23,6380647,6380625,16384,23,0,203
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,asynchronous,1000,10,105.885,16384,6380458,172,5,0,2,0,8,5,6380630,6380625,16384,10,0,183
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,asynchronous,1000,10,106.154,16384,6380454,172,1,0,1,0,1,1,6380626,6380625,16384,4,0,212
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,asynchronous,1000,10,105.589,16384,6380484,173,31,1,12,0,57,32,6380656,6380625,16385,16,0,204
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,asynchronous,1000,10,105.96,16384,6380465,172,12,0,5,0,9,12,6380636,6380625,16384,10,0,175
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,20000,3,multiset,3,,asynchronous,1000,10,172.08,16384,8520180,247,7,1,2,0,4,8,8520427,8520419,16384,5,0,352
