branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,asynchronous,1000,32,12.7781,10000,5888981,36127,74745,4516,23493,7257,551566,79261,5944654,5845844,11318,267674,82,143
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,asynchronous,1000,32,12.5099,10000,5868825,33271,54589,1660,19643,4188,415370,56249,5915430,5845843,11189,260057,48,139
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,asynchronous,1000,32,12.8949,10000,5888998,35284,74762,3673,23663,6281,532901,78435,5941690,5845847,11266,265531,81,136
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,asynchronous,1000,32,12.4741,10000,5865305,34051,51069,2440,18841,3718,386823,53509,5909088,5845840,11085,257715,93,138
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,asynchronous,1000,32,12.8773,10000,5877977,33769,63741,2158,22335,5634,495767,65899,5927577,5845847,11394,263972,79,140
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,asynchronous,1000,32,12.6819,10000,5903001,36172,88765,4561,26986,7901,625211,93326,5953958,5845847,11214,272547,111,138
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,asynchronous,1000,32,12.6043,10000,5896721,35164,82485,3553,26136,7186,594866,86038,5950145,5845842,11427,271028,102,141
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,asynchronous,1000,32,12.8206,10000,5877788,34843,63552,3232,20842,6232,478083,66784,5932488,5845845,11744,262812,78,140
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,asynchronous,1000,32,13.0229,10000,5888406,35369,74170,3758,22343,8215,539380,77928,5947938,5845847,11955,266094,54,136
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,3,multiset,3,,asynchronous,1000,32,12.327,10000,5867543,32794,53307,1183,19596,4166,414586,54489,5908408,5845846,10932,261033,72,143
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,asynchronous,1000,32,10.7236,10000,5974787,36081,160551,4470,43579,13040,984663,165021,6037135,5845845,11814,306396,216,146
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,asynchronous,1000,32,11.1744,10000,6008256,35505,194020,3894,48202,14574,1089908,197914,6069538,5845847,11717,314287,188,148
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,asynchronous,1000,32,11.4378,10000,5999727,35666,185491,4055,47043,14192,1071975,189546,6049616,5845847,11613,311849,195,150
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,asynchronous,1000,32,10.9907,10000,5988528,34737,174292,3126,45894,13444,1021468,177418,6039232,5845847,11114,311040,193,146
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,asynchronous,1000,32,11.1338,10000,6017482,35646,203246,4035,49578,14495,1110593,207281,6069271,5845847,11299,315077,232,149
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,asynchronous,1000,32,10.8987,10000,5971113,35939,156877,4328,43537,13660,973492,161205,6041895,5845843,12151,307175,193,142
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,asynchronous,1000,32,10.8765,10000,5967005,34773,152769,3162,40892,12752,916564,155931,6017807,5845847,11600,303811,217,150
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,asynchronous,1000,32,10.9086,10000,5995369,34781,181133,3170,46250,14115,1042488,184303,6052443,5845847,11613,312638,219,154
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,asynchronous,1000,32,10.8592,10000,5996401,35641,182164,4030,49672,13456,1093249,186173,6053410,5845788,11482,314108,258,153
master,pcs,mpirun-np2-hostolaf,honi./pcs_sim,500,6,multiset,6,,asynchronous,1000,32,11.6611,10000,6082390,36224,268153,4613,56374,21791,1400398,272752,6143601,5845854,12329,332911,234,155
