branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,3,multiset,3,,asynchronous,1000,32,19.7564,10000,9297687,32773,49300,2561,9837,1218,186079,51861,9334698,9278587,10483,153324,98,147
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,3,multiset,3,,asynchronous,1000,32,19.6355,10000,9290533,31295,42146,1083,8732,926,161730,43227,9323748,9278594,10237,152146,85,153
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,3,multiset,3,,asynchronous,1000,32,19.5159,10000,9300952,31072,52565,860,10105,1314,191729,53425,9337020,9278599,10411,153958,109,153
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,3,multiset,3,,asynchronous,1000,32,19.9771,10000,9275265,31485,26878,1273,6481,661,118270,28150,9310579,9278596,10472,149238,86,148
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,3,multiset,3,,asynchronous,1000,32,19.7844,10000,9291906,31345,43519,1133,8039,988,151197,44652,9324186,9278598,10158,151612,93,153
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,6,multiset,6,,asynchronous,1000,32,16.1089,10000,9358819,32604,110432,2392,19262,2627,367851,112824,9394812,9278599,10346,165491,274,161
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,6,multiset,6,,asynchronous,1000,32,16.1307,10000,9375588,32152,127201,1940,21095,3155,410497,129141,9412589,9278595,10399,168063,257,163
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,6,multiset,6,,asynchronous,1000,32,16.708,10000,9389336,33389,140950,3177,22048,3697,435992,144126,9431050,9278594,10686,169546,263,167
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,6,multiset,6,,asynchronous,1000,32,16.1293,10000,9368908,31752,120521,1540,20233,2971,394006,122061,9405277,9278599,10433,166819,254,157
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,6,multiset,6,,asynchronous,1000,32,16.7643,10000,9385509,32753,137122,2541,22192,3432,438165,139663,9423658,9278599,10457,169497,293,166
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,20000,3,multiset,3,,asynchronous,1000,32,26.4173,10000,12417859,42969,88086,2836,14518,2369,286850,90922,12466746,12369906,10584,199105,170,155
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,20000,3,multiset,3,,asynchronous,1000,32,26.6704,10000,12433339,43012,103566,2879,15019,2947,311723,106445,12481058,12369906,10357,200701,161,160
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,20000,3,multiset,3,,asynchronous,1000,32,27.0839,10000,12469056,43631,139283,3498,19045,4017,402984,142781,12520600,12369905,10617,206188,164,165
