branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,34.9164,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1528
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,34.896,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1691
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,35.3423,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1521
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,35.1867,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1633
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,35.1817,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1636
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.0419,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1417
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.2627,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1609
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.1879,16384,2529141,55,2,0,2,0,39,2,2529197,2529194,16384,3,0,1435
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.1708,16384,2529140,55,1,0,1,0,14,1,2529195,2529194,16384,4,0,1420
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.4247,16384,2529140,55,1,0,1,0,7,1,2529195,2529194,16384,2,0,1189
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,36.1266,16384,2529143,55,4,0,6,0,116,4,2529200,2529194,16384,0,5,1642
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,36.0688,16384,2529143,55,4,0,6,0,116,4,2529200,2529194,16384,0,5,1693
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,36.1067,16384,2529143,55,4,0,6,0,116,4,2529200,2529194,16384,0,5,1636
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,36.2018,16384,2529143,55,4,0,6,0,116,4,2529200,2529194,16384,0,5,1697
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,36.165,16384,2529143,55,4,0,6,0,116,4,2529200,2529194,16384,0,5,1639
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,32.586,16384,2529145,55,6,0,7,0,126,6,2529203,2529194,16384,1,5,1319
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,32.0257,16384,2529143,55,4,0,6,0,116,4,2529200,2529194,16384,1,5,1430
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,32.1497,16384,2529147,55,8,0,9,0,165,8,2529204,2529194,16384,3,5,1378
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.8284,16384,2529145,55,6,0,8,0,156,6,2529202,2529194,16384,2,5,1374
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,32.0242,16384,2529144,55,5,0,7,0,138,5,2529201,2529194,16384,9,5,1387
