branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.4505,10000,5863184,34080,48948,2469,18392,4692,397925,51416,5911956,5845840,11186,259187,77,137
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.9474,10000,5872650,33005,58414,1394,20986,4357,446266,59808,5917781,5845847,11119,261167,54,137
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.4424,10000,5870878,34526,56642,2915,18040,4771,398315,59557,5913556,5845847,10724,259619,73,139
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.6633,10000,5857304,34338,43068,2727,16917,4329,368233,45795,5906136,5845847,11629,255718,62,140
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.5785,10000,5869151,33793,54915,2182,20904,3876,425638,57096,5910673,5845845,11187,262068,79,138
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.8113,10000,5949202,35235,134966,3624,41287,11015,894227,138585,6003038,5845834,11446,302540,210,148
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.8458,10000,5982716,34930,168480,3319,44986,13517,1015879,171799,6035043,5845845,11481,308930,185,152
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.8439,10000,5965968,34553,151732,2942,42908,11999,935059,154674,6024776,5845840,11498,304868,177,150
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.167,10000,6047341,36101,233104,4490,52941,17900,1263280,237561,6099399,5845846,11300,323212,223,151
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.1543,10000,5997283,34904,183047,3293,47623,13166,1054361,186340,6046115,5845847,11349,311268,218,151
