branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.4312,10000,6233289,20304,21758,708,4986,471,88984,22466,6255430,6231127,10282,108453,55,147
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.5545,10000,6239385,20840,27854,1244,5596,760,109969,29098,6264151,6231125,10473,109204,64,146
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.5063,10000,6245681,20137,34150,541,6739,859,124908,34691,6270206,6231125,10462,110531,56,149
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.3268,10000,6232283,20713,20753,1117,4922,489,88390,21870,6255602,6231122,10275,108389,52,148
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.795,10000,6252631,20891,41100,1295,7403,1112,146242,42395,6278399,6231127,10555,111538,63,146
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.4336,10000,6316456,21271,104925,1675,15194,2700,305132,106600,6341801,6231127,10465,122313,173,166
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0378,10000,6299326,21425,87796,1829,14137,2184,277043,89625,6323279,6231121,10302,120305,175,156
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.1095,10000,6301054,21095,89523,1499,13696,2300,273407,91022,6327362,6231126,10372,120392,133,163
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.2544,10000,6298029,21382,86498,1786,13992,2172,272814,88284,6324627,6231127,10540,120115,136,160
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,10.9686,10000,6291485,21300,79954,1704,13404,2103,264586,81657,6318392,6231123,10490,119320,140,168
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.2776,10000,6238078,20408,26547,812,5672,622,105207,27359,6260945,6231127,10393,109126,141,149
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.9026,10000,6226223,20255,14692,659,4012,287,70592,15351,6248216,6231125,10254,107094,119,155
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.522,10000,6255566,20287,44035,691,7391,1207,150706,44725,6280610,6231122,10469,111701,133,154
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.9258,10000,6220150,19841,8619,245,2987,159,51135,8864,6241418,6231123,10271,105922,145,148
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.4186,10000,6234268,21090,22737,1494,5084,497,94560,24231,6256876,6231127,10282,108462,154,155
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0226,10000,6289875,20798,78345,1202,13143,1876,254916,79547,6313952,6231121,10369,118914,208,157
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.5519,10000,6320466,22171,108935,2575,15544,2892,317544,111510,6347555,6231127,10554,122771,245,165
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0849,10000,6302021,21555,90494,1960,14417,2402,283379,92453,6330248,6231104,10680,120827,229,150
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,10.8418,10000,6277779,20580,66248,984,11970,1558,226963,67232,6301635,6231125,10440,117255,248,162
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.3181,10000,6290410,20603,78879,1007,13410,1868,258799,79886,6313802,6231127,10339,119242,213,159
